id;start_date;end_date;language
1;2020-01-16T05:37:42;2020-01-16T03:27:57;SPANISH
2;2020-01-15T10:27:53;2020-01-16T05:32:18;SPANISH
3;2020-01-16T01:23:12;2020-01-15T11:57:21;FRENCH
4;2020-01-15T16:40:43;2020-01-16T04:12:09;FRENCH
5;2020-01-16T02:11:01;2020-01-16T06:58:00;FRENCH
6;2020-01-15T20:03:22;2020-01-16T08:11:36;FRENCH
7;2020-01-15T21:48:42;2020-01-15T15:39:33;FRENCH
8;2020-01-15T20:44:55;2020-01-16T07:01:03;SPANISH
9;2020-01-15T19:26:04;2020-01-15T16:07:27;SPANISH
10;2020-01-16T03:38:08;2020-01-15T14:12:38;SPANISH
